title,author,year,genre,audience,pages,goodreads_rating,tags
Berserk,"Miura, Kentarou",1989.0,Fantasy,adult,,4.74,action adult adventure brutal brutal-combat brutal-medieval dark dark-epic-fantasy dark-fantasy divine drama epic-fantasy fantasy gore griffith guts horror lone-warrior manga medieval mercenary military mind mythology psychological supernatural sword-master war warrior-journey warrior-protagonist
JoJo no Kimyou na Bouken Part 7: Steel Ball Run,"Araki, Hirohiko",2004.0,Mystery,young_adult,,4.65,action adult adventure manga mystery supernatural young_adult
Vagabond,"Inoue, Takehiko",1998.0,Historical,adult,,4.62,action adult adventure brutal-medieval dark-epic-fantasy duels historical historical-japan lone-warrior manga miyamoto-musashi ninja philosophical-journey samurai sword-master warrior-journey
One Piece,"Oda, Eiichiro",1997.0,Adventure,young_adult,,4.61,action adventure adventure-crew devil-fruit fantasy grand-line luffy manga pirates world-building young_adult
Monster,"Urasawa, Naoki",1994.0,Mystery,adult,,4.58,adult adult-cast drama germany johan-liebert manga mind mystery psychological psychological-thriller serial-killer tenma
Slam Dunk,"Inoue, Takehiko",1990.0,Sports,young_adult,,4.54,coming-of-age manga school sports teamwork young_adult
Maus,Art Spiegelman,1991.0,Memoir,adult,296.0,4.53,memoir historical holocaust war dark family trauma political art-spiegelman mice-metaphor
Vinland Saga,"Yukimura, Makoto",2005.0,Historical,adult,,4.53,action adult adventure brutal-medieval dark-epic-fantasy dark-fantasy drama family historical lone-warrior manga medieval-europe revenge sci-fi thorfinn viking warrior-journey
March Vol. 2,John Lewis,2015.0,Historical,adult,192.0,4.52,historical political civil-rights selma march activism memoir
Nausicaa of the Valley of the Wind,Hayao Miyazaki,1982.0,Science Fiction,young_adult,1060.0,4.52,sci-fi ecology war hope female-hero epic manga beautiful hayao-miyazaki
Fullmetal Alchemist,"Arakawa, Hiromu",2001.0,Fantasy,young_adult,,4.51,action adventure alchemy brotherhood drama edward-elric equivalent-exchange fantasy manga philosopher-stone sacrifice young_adult
Grand Blue (Grand Blue Dreaming),"Inoue, Kenji",2014.0,Manga,adult,,4.51,adult manga
Oyasumi Punpun (Goodnight Punpun),"Asano, Inio",2007.0,Slice of Life,adult,,4.5,adult coming-of-age dark-romance depression drama manga self-discovery slice-of-life
Kingdom,"Hara, Yasuhisa",2006.0,Historical,adult,,4.5,action adult historical manga military war
Houseki no Kuni (Land of the Lustrous),"Ichikawa, Haruko",2012.0,Fantasy,adult,,4.48,action adult drama fantasy manga
Ashita no Joe,"Kajiwara, Ikki",1968.0,Slice of Life,young_adult,,4.47,drama manga slice-of-life sports young_adult
20th Century Boys,"Urasawa, Naoki",1999.0,Mystery,adult,,4.47,adult conspiracy drama epic-mystery friend historical kenji manga mind mystery psychological robot sci-fi
Real,"Inoue, Takehiko",1999.0,Sports,adult,,4.47,adult drama manga mind psychological sports teamwork
Monogatari Series: First Season,"NISIO, ISIN",2006.0,Mystery,adult,,4.46,action comedy manga mystery romance supernatural
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen (Kaguya-sama: Love Is War),"Akasaka, Aka",2015.0,Comedy,adult,,4.46,adult comedy coming-of-age manga romantic-subtext school
