mal_id,title,title_english,title_japanese,type,chapters,volumes,status,publishing,published_from,published_to,score,scored_by,rank,popularity,members,favorites,authors,serializations,genres,themes,demographics,synopsis,image_url
2,Berserk,Berserk,ベルセルク,Manga,,,Publishing,True,1989-08-25,,9.46,397810,1.0,1,794592,137638,"Miura, Kentarou|Studio Gaga",Young Animal,Action|Adventure|Award Winning|Drama|Fantasy|Horror,Gore|Military|Psychological,Seinen,"Guts, a former mercenary now known as the Black Swordsman, is out for revenge. After a tumultuous childhood, he finally finds someone he respects and believes he can trust, only to have everything fall apart when this person takes away everything important to Guts for the purpose of fulfilling his own desires. Now marked for death, Guts becomes condemned to a fate in which he is relentlessly pursued by demonic beings.

Setting out on a dreadful quest riddled with misfortune, Guts, armed with a massive sword and monstrous strength, will let nothing stop him, not even death itself, until he is finally able to take the head of the one who stripped him—and his loved one—of their humanity.

[Written by MAL Rewrite]

Included one-shot:
Volume 14: Berserk: The Prototype",https://myanimelist.net/images/manga/1/157897.jpg
1706,JoJo's Bizarre Adventure Part 7: Steel Ball Run,JoJo's Bizarre Adventure Part 7: Steel Ball Run,ジョジョの奇妙な冒険 Part7 STEEL BALL RUN,Manga,96.0,24.0,Finished,False,2004-01-19,2011-04-19,9.34,200102,2.0,20,323058,51533,"Araki, Hirohiko",Ultra Jump,Action|Adventure|Mystery|Supernatural,Historical,Seinen|Shounen,"In the American Old West, the world's greatest race is about to begin. Thousands line up in San Diego to travel over six thousand kilometers for a chance to win the grand prize of fifty million dollars. With the era of the horse reaching its end, contestants are allowed to use any kind of vehicle they wish. Competitors will have to endure grueling conditions, traveling up to a hundred kilometers a day through uncharted wastelands. The Steel Ball Run is truly a one-of-a-kind event.

The youthful Johnny Joestar, a crippled former horse racer, has come to San Diego to watch the start of the race. There he encounters Gyro Zeppeli, a racer with two steel balls at his waist instead of a gun. Johnny witnesses Gyro using one of his steel balls to unleash a fantastical power, compelling a man to fire his gun at himself during a duel. In the midst of the action, Johnny happens to touch the steel ball and feels a power surging through his legs, allowing him to stand up for the first time in two y",https://myanimelist.net/images/manga/3/179882.jpg
656,Vagabond,Vagabond,バガボンド,Manga,327.0,37.0,On Hiatus,False,1998-09-03,2015-05-21,9.27,175390,3.0,12,457036,48657,"Inoue, Takehiko|Yoshikawa, Eiji",Morning,Action|Adventure|Award Winning,Historical|Samurai,Seinen,"In 16th-century Japan, Shinmen Takezou is a wild, rough young man in both his appearance and his actions. His aggressive nature has won him the collective reproach and fear of his village, leading him and his best friend, Matahachi Honiden, to run away in search of something grander than provincial life. The pair enlist in the Toyotomi army, yearning for glory—but when the Toyotomi suffer a crushing defeat at the hands of the Tokugawa Clan at the Battle of Sekigahara, the friends barely make it out alive.

After the two are separated, Shinmen returns home on a self-appointed mission to notify the Hon'iden family of Matahachi's survival. He instead finds himself a wanted criminal, framed for his friend's supposed murder based on his history of violence. Upon being captured, he is strung up on a tree and left to die. An itinerant monk, the distinguished Takuan Soho, takes pity on the ""devil child,"" secretly freeing Shinmen and christening him with a new name to avoid pursuit by the autho",https://myanimelist.net/images/manga/1/259070.jpg
13,One Piece,One Piece,ONE PIECE,Manga,,,Publishing,True,1997-07-22,,9.21,420433,4.0,3,696349,125838,"Oda, Eiichiro",Shounen Jump (Weekly),Action|Adventure|Fantasy,,Shounen,"Gol D. Roger, a man referred to as the King of the Pirates, is set to be executed by the World Government. But just before his demise, he confirms the existence of a great treasure, One Piece, located somewhere within the vast ocean known as the Grand Line. Announcing that One Piece can be claimed by anyone worthy enough to reach it, the King of the Pirates is executed and the Great Age of Pirates begins.

Twenty-two years later, a young man by the name of Monkey D. Luffy is ready to embark on his own adventure, searching for One Piece and striving to become the new King of the Pirates. Armed with just a straw hat, a small boat, and an elastic body, he sets out on a fantastic journey to gather his own crew and a worthy ship that will take them across the Grand Line to claim the greatest status on the high seas.

[Written by MAL Rewrite]",https://myanimelist.net/images/manga/2/253146.jpg
162032,Lord of Mysteries,Lord of Mysteries,诡秘之主,Novel,366.0,18.0,Finished,False,2020-05-01,2023-08-01,9.17,7288,5.0,954,23214,1861,Ai Qianshui de Wuzei,,Action|Fantasy|Mystery|Suspense,Isekai|Urban Fantasy,,"Through the storm of steam and machinery, who can achieve the extraordinary? In the mist of history and darkness, who whispers to me? When I woke up from the haze of mystery, I found myself in a world of guns, cannons, giant ships, airships, difference engines; potions, divination, curses, hanged men, and sealed artifacts. But the light still shines between it all, and the mystery is never more than two steps away. This is the legend of the Fool.

(Source: Yen Press)",https://myanimelist.net/images/manga/2/287344.jpg
1,Monster,Monster,MONSTER,Manga,162.0,18.0,Finished,False,1994-12-05,2001-12-20,9.16,116668,6.0,27,288956,23729,"Urasawa, Naoki",Big Comic Original,Award Winning|Drama|Mystery,Adult Cast|Psychological,Seinen,"Kenzou Tenma, a renowned Japanese neurosurgeon working in post-war Germany, faces a difficult choice: to operate on Johan Liebert, an orphan boy on the verge of death, or on the mayor of Düsseldorf. In the end, Tenma decides to gamble his reputation by saving Johan, effectively leaving the mayor for dead.

As a consequence of his actions, hospital director Heinemann strips Tenma of his position, and Heinemann's daughter Eva breaks off their engagement. Disgraced and shunned by his colleagues, Tenma loses all hope of a successful career—that is, until the mysterious killing of Heinemann gives him another chance.

Nine years later, Tenma is the head of the surgical department and close to becoming the director himself. Although all seems well for him at first, he soon becomes entangled in a chain of gruesome murders that have taken place throughout Germany. The culprit is a monster—the same one that Tenma saved on that fateful day nine years ago.

[Written by MAL Rewrite]",https://myanimelist.net/images/manga/3/258224.jpg
51,Slam Dunk,Slam Dunk,SLAM DUNK,Manga,276.0,31.0,Finished,False,1990-09-18,1996-06-04,9.09,89290,7.0,50,200336,18070,"Inoue, Takehiko",Shounen Jump (Weekly),Award Winning|Sports,School|Team Sports,Shounen,"Hanamichi Sakuragi, a tall, boisterous teenager with flame-red hair and physical strength beyond his years, is eager to put an end to his rejection streak of 50 and finally score a girlfriend as he begins his first year of Shohoku High. However, his reputation for delinquency and destructiveness precedes him, and most of his fellow students subsequently avoid him like the plague. As his first day of school ends, he is left with two strong thoughts: ""I hate basketball"" and ""I need a girlfriend.""

Haruko Akagi, ignorant of Hanamichi's history of misbehavior, notices his immense height and unwittingly approaches him, asking whether or not he likes basketball. Overcome by the fact that a girl is speaking to him, the red-haired giant blurts out a yes despite his true feelings. At the gym, Haruko asks if he can do a slam dunk. Though a complete novice, Hanamachi palms the ball and makes the leap...but overshoots, slamming his head into the backboard. Amazed by his near-inhuman physical abili",https://myanimelist.net/images/manga/2/258749.jpg
642,Vinland Saga,Vinland Saga,ヴィンランド・サガ,Manga,224.0,29.0,Finished,False,2005-04-13,2025-07-25,9.09,158949,8.0,16,359383,38208,"Yukimura, Makoto",Afternoon,Action|Adventure|Award Winning|Drama,Historical,Seinen,"Thorfinn, son of one of the Vikings' greatest warriors, is among the finest fighters in the merry band of mercenaries run by the cunning Askeladd, an impressive feat for a person his age. However, Thorfinn is not part of the group for the plunder it entails—instead, for having caused his family great tragedy, the boy has vowed to kill Askeladd in a fair duel. Not yet skilled enough to defeat him, but unable to abandon his vengeance, Thorfinn spends his boyhood with the mercenary crew, honing his skills on the battlefield among the war-loving Danes, where killing is just another pleasure of life.

One day, when Askeladd receives word that Danish prince Canute has been taken hostage, he hatches an ambitious plot—one that will decide the next King of England and drastically alter the lives of Thorfinn, Canute, and himself. Set in 11th-century Europe, Vinland Saga tells a bloody epic in an era where violence, madness, and injustice are inescapable, providing a paradise for the battle-craze",https://myanimelist.net/images/manga/2/188925.jpg
147272,The Greatest Estate Developer,The Greatest Estate Developer,역대급 영지 설계사,Manhwa,222.0,,Finished,False,2021-07-30,2026-01-01,9.06,39836,9.0,215,83176,5075,"Moon, Back-kyung|Kim, Hyunsoo",Naver Webtoon,Adventure|Comedy|Fantasy,Isekai|Reincarnation,,"There is no bigger scum of the earth than Lloyd Frontera. He is the eldest son, yet all he does is drink and intimidate others, depleting what little is left of his family's wealth. The Fronteras' knight, Javier Asrahan, is destined to become a renowned swordmaster, and Lloyd's family will face pitiful deaths as their entire land falls to ruin under insurmountable debt.

Though at some point Kim Suho was an average civil engineering student in Korea, he suddenly wakes up on a dirt road as none other than Lloyd, an ungrateful hooligan from the beginning of a book following Javier, the protagonist. While a sassy status window offers some clarity about his new identity, Suho is rather worried about his imminent downfall.

To avoid becoming a beggar—and ultimately lead a sweet and comfortable life—Suho decides to fix Lloyd's scumbag image. With his engineering expertise and magical construction skills boost, Suho introduces modern innovations and city developments to this medieval-like wor",https://myanimelist.net/images/manga/1/290131.jpg
70345,Grand Blue Dreaming,Grand Blue Dreaming,ぐらんぶる,Manga,,,Publishing,True,2014-04-07,,9.05,76126,10.0,48,201580,19214,"Inoue, Kenji|Yoshioka, Kimitake",good! Afternoon,Comedy,Adult Cast|Gag Humor,Seinen,"Among the seaside town of Izu's ocean waves and rays of shining sun, Iori Kitahara is just beginning his freshman year at Izu University. As he moves into his uncle's scuba diving shop, Grand Blue, he eagerly anticipates his dream college life, filled with beautiful girls and good friends.

But things don't exactly go according to plan. Upon entering the shop, he encounters a group of rowdy, naked upperclassmen, who immediately coerce him into participating in their alcoholic activities. Though unwilling at first, Iori quickly gives in and becomes the heart and soul of the party. Unfortunately, this earns him the scorn of his cousin, Chisa Kotegawa, who walks in at precisely the wrong time. Undeterred, Iori still vows to realize his ideal college life, but will things go according to plan this time, or will his situation take yet another dive?

[Written by MAL Rewrite]",https://myanimelist.net/images/manga/2/166124.jpg
